job_id=16408676 host=cs672.hpc.nyu.edu config=configs/smoke_calibration.yaml run_id=phase1-smoke-calibration-v1
valid: d=12 q=4 instances=16
completed example=s0-i0 library=oracle rows=12
completed example=s0-i0 library=random_matched rows=24
completed example=s0-i0 library=structural rows=36
completed example=s0-i1 library=oracle rows=48
completed example=s0-i1 library=random_matched rows=60
completed example=s0-i1 library=structural rows=72
completed example=s0-i2 library=oracle rows=84
completed example=s0-i2 library=random_matched rows=96
completed example=s0-i2 library=structural rows=108
completed example=s0-i3 library=oracle rows=120
completed example=s0-i3 library=random_matched rows=132
completed example=s0-i3 library=structural rows=144
completed example=s0-i4 library=oracle rows=156
completed example=s0-i4 library=random_matched rows=168
completed example=s0-i4 library=structural rows=180
completed example=s0-i5 library=oracle rows=192
completed example=s0-i5 library=random_matched rows=204
completed example=s0-i5 library=structural rows=216
completed example=s0-i6 library=oracle rows=228
completed example=s0-i6 library=random_matched rows=240
completed example=s0-i6 library=structural rows=252
completed example=s0-i7 library=oracle rows=264
completed example=s0-i7 library=random_matched rows=276
completed example=s0-i7 library=structural rows=288
completed example=s1-i0 library=oracle rows=300
completed example=s1-i0 library=random_matched rows=312
completed example=s1-i0 library=structural rows=324
completed example=s1-i1 library=oracle rows=336
completed example=s1-i1 library=random_matched rows=348
completed example=s1-i1 library=structural rows=360
completed example=s1-i2 library=oracle rows=372
completed example=s1-i2 library=random_matched rows=384
completed example=s1-i2 library=structural rows=396
completed example=s1-i3 library=oracle rows=408
completed example=s1-i3 library=random_matched rows=420
completed example=s1-i3 library=structural rows=432
completed example=s1-i4 library=oracle rows=444
completed example=s1-i4 library=random_matched rows=456
completed example=s1-i4 library=structural rows=468
completed example=s1-i5 library=oracle rows=480
completed example=s1-i5 library=random_matched rows=492
completed example=s1-i5 library=structural rows=504
completed example=s1-i6 library=oracle rows=516
completed example=s1-i6 library=random_matched rows=528
completed example=s1-i6 library=structural rows=540
completed example=s1-i7 library=oracle rows=552
completed example=s1-i7 library=random_matched rows=564
completed example=s1-i7 library=structural rows=576
