job_id=16360244 host=cs601.hpc.nyu.edu config=configs/smoke.yaml run_id=phase1-smoke-formal-v3
valid: d=12 q=4 instances=16
completed example=s0-i0 library=oracle rows=168
completed example=s0-i0 library=random_matched rows=336
completed example=s0-i0 library=structural rows=504
completed example=s0-i1 library=oracle rows=672
completed example=s0-i1 library=random_matched rows=840
completed example=s0-i1 library=structural rows=1008
completed example=s0-i2 library=oracle rows=1176
completed example=s0-i2 library=random_matched rows=1344
completed example=s0-i2 library=structural rows=1512
completed example=s0-i3 library=oracle rows=1680
completed example=s0-i3 library=random_matched rows=1848
completed example=s0-i3 library=structural rows=2016
completed example=s0-i4 library=oracle rows=2184
completed example=s0-i4 library=random_matched rows=2352
completed example=s0-i4 library=structural rows=2520
completed example=s0-i5 library=oracle rows=2688
completed example=s0-i5 library=random_matched rows=2856
completed example=s0-i5 library=structural rows=3024
completed example=s0-i6 library=oracle rows=3192
completed example=s0-i6 library=random_matched rows=3360
