epsilon,width,requested_count,maximum_count,attempted_count,valid_count,invalid_count,minimum_valid_count,passed
0.01,1,24,32,24,24,0,20,True
0.01,2,24,32,24,24,0,20,True
0.01,3,24,32,24,24,0,20,True
0.01,4,24,32,24,24,0,20,True
0.01,5,24,32,24,24,0,20,True
0.05,1,24,32,24,24,0,20,True
0.05,2,24,32,24,24,0,20,True
0.05,3,24,32,24,24,0,20,True
0.05,4,24,32,24,24,0,20,True
0.05,5,24,32,24,24,0,20,True
0.15,1,24,32,24,24,0,20,True
0.15,2,24,32,24,24,0,20,True
0.15,3,24,32,24,24,0,20,True
0.15,4,24,32,24,24,0,20,True
0.15,5,24,32,24,24,0,20,True
