method,estimate,ci_low,ci_high
b_saps_budgeted,0.15685474742243072,0.03132191837084955,0.28888951963322
confidence,0.2227710317024808,-0.07913105874692053,0.5287187810258589
dependency_cmi,0.17466839489914188,-0.10123398486834707,0.5008574065575995
dprm_myopic,0.13820694853073867,-0.25649141254135427,0.5052878402301201
dprm_rollout,0.25944349940494743,-0.13229558400352792,0.6771654745675897
entropy,0.20244539607237483,-0.1436062958621623,0.5641336251925227
min_within_batch_tc,-0.052905848846963144,-0.5322136999166055,0.4014242485972325
p_saps_projection,0.1324749964853592,-0.24910390054511403,0.5282416917948368
p_saps_residualized,0.22348140008638973,-0.17835464182039643,0.641677406887439
saps_diagonal,0.1795669308395676,-0.010457836517461067,0.4004191228682507
subset_beam_32,0.23563331179468613,-0.08402693414934109,0.6205869186093345
subset_beam_8,0.16121092844721635,-0.14146850313766487,0.5215635744164715
subset_exact,0.1888430548972732,-0.0920446523096517,0.5059097833812837
