scheduler,mean_gain,success_rate,response_power,planning_time_sec,n_model_calls,n_reward_calls,adaptation_terminal_labels
b_saps_budgeted,0.7832473773356848,0.3802083333333333,0.026605614749704087,0.00362753100570343,96.0,96.0,40.0
confidence,0.849163661615735,0.3645833333333333,-0.0047067830692555475,0.0016747095052980715,96.0,96.0,40.0
dependency_cmi,0.8010610248123959,0.3645833333333333,0.009904884263430157,0.5020428594256777,96.0,96.0,40.0
dprm_myopic,0.7645995784439928,0.3854166666666667,0.01728081303102946,0.2620594343510068,96.0,96.0,40.0
dprm_rollout,0.8858361293182015,0.4010416666666667,0.0072847040038365035,42.14751858430746,96.0,96.0,40.0
entropy,0.828838025985629,0.375,0.021724797593359803,0.0016785111624307723,96.0,96.0,40.0
min_within_batch_tc,0.573486781066291,0.3385416666666667,0.005413709442877742,0.5023471520010693,96.0,96.0,40.0
p_saps_projection,0.7588676263986133,0.2899305555555556,0.024796569697999028,1.7964958345853828,96.0,96.0,490.0
p_saps_residualized,0.8498740299996439,0.3958333333333333,0.018335268685590114,1.7964958345853828,96.0,96.0,70.0
random_balanced,0.6263926299132541,0.3489583333333333,0.015886572439336895,0.00013114430799355937,96.0,96.0,40.0
saps_diagonal,0.8059595607528217,0.3819444444444444,0.017237320404950726,0.004866764597762894,96.0,96.0,40.0
subset_beam_32,0.8620259417079402,0.4010416666666667,0.026922990422325092,0.002879181415967954,96.0,96.0,40.0
subset_beam_8,0.7876035583604705,0.3854166666666667,0.029489230597968777,0.002215111673447407,96.0,96.0,40.0
subset_exact,0.8152356848105273,0.4010416666666667,0.03778173477451843,101.6638409613386,96.0,96.0,40.0
