method,estimate,ci_low,ci_high
b_saps_budgeted,-0.011864999927892092,-0.20566630282388337,0.13506516853970915
confidence,-0.1266130915844658,-0.3681399014466736,0.11727005352009807
dependency_cmi,0.02655754559451067,-0.2200778370759265,0.2839984811040528
dprm_myopic,-0.1473509402638927,-0.3728472612992315,0.06664636646095065
dprm_rollout,-0.1473509402638927,-0.3728472612992315,0.06664636646095065
entropy,-0.15551426488003736,-0.4223272901717827,0.10770393686888893
min_within_batch_tc,-0.032844142498189795,-0.2953147530480968,0.2405050404617631
p_saps_projection,-0.011864999927892092,-0.20566630282388337,0.13506516853970915
p_saps_residualized,-0.011864999927892092,-0.20566630282388337,0.13506516853970915
saps_diagonal,-0.019631289909136283,-0.21336239326370135,0.12532539100846876
subset_beam_32,-0.011864999927892092,-0.20566630282388337,0.13506516853970915
subset_beam_8,-0.011864999927892092,-0.20566630282388337,0.13506516853970915
subset_exact,-0.011864999927892092,-0.20566630282388337,0.13506516853970915
