example_id,seed,schedule_id,schedule,scheduler,score_diag_um,score_projection,score_residualized,score_budgeted,actual_response_power,actual_terminal_gain,frontier_width_histogram
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",random_balanced,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",confidence,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",entropy,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",dependency_cmi,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",min_within_batch_tc,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",dprm_myopic,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",dprm_rollout,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",subset_exact,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",subset_beam_8,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",subset_beam_32,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",saps_diagonal,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",p_saps_residualized,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",p_saps_projection,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",b_saps_budgeted,1.0,1.0,1.0,0.019933243911272918,6.613624818871097,2.571696875386191,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",random_balanced,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",confidence,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",entropy,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",dependency_cmi,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",min_within_batch_tc,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",dprm_myopic,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",dprm_rollout,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",subset_exact,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",subset_beam_8,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",subset_beam_32,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",saps_diagonal,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",p_saps_residualized,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",p_saps_projection,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",b_saps_budgeted,1.0,1.0,1.0,0.09832187834349396,3.48784594330334,1.8675775601841387,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",random_balanced,1.0,1.0,1.0,0.28466967854505804,2.722107585247605,1.649881082153379,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",confidence,1.0,1.0,1.0,0.28466967854505804,2.722107585247605,1.649881082153379,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",entropy,1.0,1.0,1.0,0.28466967854505804,2.722107585247605,1.649881082153379,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",dependency_cmi,1.0,1.0,1.0,0.28466967854505804,2.722107585247605,1.649881082153379,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",min_within_batch_tc,1.0,1.0,1.0,0.28466967854505804,2.722107585247605,1.649881082153379,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",dprm_myopic,1.0,1.0,1.0,0.28466967854505804,2.722107585247605,1.649881082153379,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",dprm_rollout,1.0,1.0,1.0,0.28466967854505804,2.722107585247605,1.649881082153379,"{""1"": 12}"
s0-i0,0,2516301160cf1942,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",subset_exact,1.0,1.0,1.0,0.28466967854505804,2.722107585247605,1.649881082153379,"{""1"": 12}"
