method,estimate,ci_low,ci_high
b_saps_budgeted,0.026664006504052148,-0.06451879888069911,0.13774492298138452
confidence,-0.02514316245545762,-0.34994258748116697,0.29835268839720885
dependency_cmi,-0.06871293584737272,-0.45727749554994407,0.35422063750750465
dprm_myopic,-0.050728363012533216,-0.2676257543006764,0.12907837512195064
dprm_rollout,0.03359269706666902,-0.14775671414279049,0.23917745233193938
entropy,-0.15612627557632808,-0.536366899534359,0.2041084209082796
min_within_batch_tc,-0.10081770323426147,-0.3687102361131203,0.2528049558307416
p_saps_projection,-0.06516318429066707,-0.3557807360638073,0.2757654494495563
p_saps_residualized,-0.039077151605432986,-0.3116364818277224,0.2802175507404792
saps_diagonal,0.009442526544166233,-0.10590255680183423,0.13100111043909737
subset_beam_32,1.160352064694525,0.7042543549835363,1.6607172577958818
subset_beam_8,1.0672305618722353,0.6456611542095326,1.543988927469374
subset_exact,1.1846724822024188,0.7184543346623704,1.6949804882185824
