scheduler,mean_gain,success_rate,response_power,planning_time_sec,n_model_calls,n_reward_calls,adaptation_terminal_labels
b_saps_budgeted,0.8440639259732304,0.3333333333333333,0.015573460915379925,0.0028397492673725034,96.0,96.0,40.0
confidence,0.7398404419094106,0.34375,0.0214041535184531,0.0008741911305049951,96.0,96.0,40.0
dependency_cmi,0.8340284443654873,0.3333333333333333,0.006853802821795849,0.2584426208218247,96.0,96.0,40.0
dprm_myopic,0.80737073831944,0.3125,0.03370283523070443,0.1481277507017593,96.0,96.0,40.0
dprm_rollout,0.6962455613212635,0.3020833333333333,0.0354354150364507,23.35665943180129,96.0,96.0,40.0
entropy,0.8357510749957143,0.3541666666666667,0.01954991602120064,0.0008754056179390722,96.0,96.0,40.0
min_within_batch_tc,0.810114664348135,0.34375,0.02554987131016195,0.25784980785884826,96.0,96.0,40.0
p_saps_projection,0.7715592622180547,0.2864583333333333,-0.000942436573307168,1.030431879973902,96.0,96.0,490.0
p_saps_residualized,0.9628754236539816,0.3732638888888889,-0.0029874481531228527,1.030431879973902,96.0,96.0,69.79166666666667
random_balanced,0.8082109276450447,0.3333333333333333,0.030516368843141635,0.00011112107838723912,96.0,96.0,40.0
saps_diagonal,0.8549626321879459,0.3229166666666667,0.020889367408116272,0.004807658984443858,96.0,96.0,40.0
subset_beam_32,0.7443767594930388,0.3697916666666667,0.0008075069198939676,0.002040123705026215,96.0,96.0,40.0
subset_beam_8,0.840237735992892,0.3854166666666667,0.01323256717156324,0.0013751755829313577,96.0,96.0,40.0
subset_exact,0.7503282536188876,0.3854166666666667,-0.0001451754177559133,55.50814848647643,96.0,96.0,40.0
